name	n_hab_planets	n_stars	n_planets	declination	star_temperature	star_metallicity	star_radius	star_age	star_spec_type	star_mass	
HD_187085	1	1	1	-37 46 50	6075.0	0.05	None	None	G0 V	1.22	
HD_187123	0	1	2	+34 25 15	5714.0	0.16	1.17	None	G5	1.06	
HD_18742	1	1	1	+20 49 12	5048.0	-0.04	4.9	None	K0	1.60	
HD_189567	0	1	1	-67 19 15	5940.0	None	None	None	G2V	None	
HD_190647	1	1	1	-35 32 19	5628.0	0.24	None	None	G5	1.1	
HD_190984	0	1	1	-64 37 14	5988.0	-0.48	1.53	None	F8V	0.91	
HD_192263	0	1	1	-00 52 01	4965.0	-0.2	0.75	None	K2 V	0.81	
HD_192699	0	1	1	+04 34 51	5220.0	-0.15	4.25	None	G8IV	1.68	
HD_196067	0	1	1	-75 21 03	5940.0	0.18	1.73	3.3	G0V	1.29	
HD_197037	1	1	1	+42 14 55	6150.0	-0.2	None	None	F7V	1.11	
HD_20003	0	1	2	-72 19 19	5940.0	None	None	None	G8V	None	
HD_200964	2	1	2	+03 48 11	5164.0	-0.15	4.3	None	K0	1.44	
HD_202206	0	1	2	-20 47 21	5750.0	0.37	1.02	None	G6 V	1.13	
HD_20367	1	1	1	+31 07 37	6128.0	0.1	1.18	None	G0	1.04	
HD_2039	0	1	1	-56 39 00	5947.0	0.1	1.21	None	G2/G3 IV-V	0.98	
HD_204313	0	1	3	-21 43 35	5767.0	0.18	None	None	G5V	1.045	
HD_204941	0	1	1	-20 57 27	5056.0	-0.19	0.72	None	K2V	0.74	
HD_205739	0	1	1	-31 44 15	6176.0	0.19	1.33	None	F7V	1.22	
HD_206610	1	1	1	-07 24 30	4874.0	0.14	6.1	None	K0	1.56	
HD_207832	0	1	2	-26 49 44	5710.0	0.06	0.901	None	G5V	0.94	
HD_20794	1	1	3	-43 30 10	5490.0	-0.40	None	None	G8V	0.70	
HD_208487	0	1	1	-37 45 49	5929.0	-0.06	1.15	None	G2V	1.3	
HD_208527	1	1	1	+21 14 23	3950	-0.09	51.1	None	K5 V	1.6	
HD_20868	1	1	1	-33 43 48	4795.0	0.04	0.79	None	K3/4IV	0.78	
HD_209458	0	1	1	+18 53 04	6075	0.02	1.146	4	G0V	1.148	
HD_210277	1	1	1	-07 32 32	5532.0	0.19	1.1	None	G0	1.09	
HD_210702	0	1	1	+16 02 26	5010.0	0.12	4.72	None	K1III	1.85	
HD_212301	0	1	1	-77 43 04	5998.0	0.18	None	None	F8 V	1.05	
HD_212771	1	1	1	-17 15 49	5121.0	-0.21	5	None	G8IV	1.15	
HD_215152	0	1	2	-06 24 03	5150.0	None	None	None	K0	None	
HD_215456	0	1	2	-48 58 04	5940.0	None	None	None	G0.5V	None	
HD_215497	1	1	2	-56 35 58	5113.0	0.23	None	None	K3V	0.87	
HD_216435	1	1	1	-48 35 53	5767.0	0.244	2	None	G0 V	1.3	
HD_216437	0	1	1	-70 04 25	5636.0	0.25	1.1	None	G4 IV-V	1.06	
HD_216536	0	1	1	+44 28 39.862	4639	-0.17	12.5	3.8	K0	1.36	
HD_216770	0	1	1	-26 39 31	5248.0	0.23	1	None	K1 V	0.9	
HD_21693	0	1	2	-58 19 25	5940.0	None	None	None	G9IV	None	
HD_217107	0	1	2	-02 23 42	5666.0	0.37	1.08	None	G8 IV	1.02	
HD_217786	0	1	1	-00 25 47	5966.0	-0.135	1.27	None	F8V	1.02	
HD_218566	1	1	1	-02 15 39	4820.0	0.38	0.86	None	K3V	0.85	
HD_219077	0	1	1	-62 42 00	5362.0	-0.13	1.91	8.9	G8 V+	1.05	
HD_219415	0	1	1	+56 43 49.15	4820.0	-0.46	2.9	None	K0 III	1.0	
HD_219828	0	1	1	+18 38 45	5891.0	0.19	1.7	None	G0IV	1.24	
HD_220074	1	1	1	+61 58 12	5080	-0.25	49.7	None	K1 V	1.2	
HD_220689	0	1	1	-20 36 58	5940.0	0.00	1.07	3.5	G3V	1.01	
HD_220773	0	1	1	+08 38 38	5940.0	0.09	None	None	F9	1.16	
HD_221287	1	1	1	-58 12 35	6304.0	0.03	None	None	F7 V	1.25	
HD_222155	0	1	1	+48 59 47	5765.0	-0.11	1.67	None	G2V	1.13	
HD_224693	0	1	1	-22 25 41	6037.0	0.343	1.7	None	G2IV	1.33	
HD_22781	0	1	1	+31 49 35	5027.0	-0.37	None	None	K0V	0.75	
HD_23079	1	1	1	-52 54 57	5848.0	-0.24	1.13	None	F8/G0 V	1.1	
HD_23127	1	1	1	-60 04 40	5927.0	0.34	None	None	G2V	1.13	
HD_231701	0	1	1	+16 28 27	6208.0	0.07	1.35	None	F8V	1.14	
HD_233604	0	1	1	+53 34 05	4791	-0.36	10.9	2.4	K5	1.50	
HD_23596	1	1	1	+40 31 50	5888.0	0.32	2.09	None	F8	1.27	
HD_240210	1	1	1	+57 01 46	4290.0	-0.18	None	None	K3III	1.25	
HD_240237	0	1	1	+58 02 36	4361.0	-0.26	32	None	K2III	1.69	
HD_24040	0	1	1	+17 28 35	5853.0	0.206	None	None	G0	1.18	
HD_25171	0	1	1	-65 11 12	6160.0	-0.11	1.18	None	F8V	1.09	
HD_27631	0	1	1	-41 57 37	5737	-0.12	1.0	4.4	G3 IV/V	0.94	
HD_27894	0	1	1	-59 24 39	4875.0	0.3	None	None	K2 V	0.8	
HD_28185	0	1	1	-10 33 02	5482.0	0.24	1.03	None	G5	1.24	
HD_28254	1	1	1	-50 37 20	5664.0	0.36	1.48	None	G1IV/V	1.06	
HD_285507	0	1	1	+15 20 06	4503	0.13	0.656	0.625	K5 D	0.734	
HD_28678	0	1	1	+04 34 48	5076.0	-0.11	6.2	None	K0	1.74	
HD_290327	0	1	1	-02 16 39	5552.0	-0.11	1	None	G8V	0.9	
HD_2952	0	1	1	+54 53 41	4844	0.00	12.02	None	K0III	2.5	
HD_30177	0	1	1	-58 01 14	5320.0	0.19	1.12	None	G8 V	0.95	
HD_30562	1	1	1	-05 40 27	5861.0	0.29	1.53	3.6	F8V	1.23	
HD_30669	0	1	1	-28 25 09.46	5400	0.13	0.91	4.8	G9 V	0.92	
HD_30856	1	1	1	-24 21 36	4982.0	-0.06	4.2	None	K0	1.35	
HD_31253	1	1	1	+12 21 08	5960.0	0.16	1.71	None	F8	1.23	
HD_31527	1	1	3	-23 14 31	5940.0	None	None	None	G0V	None	
HD_32518	0	1	1	+69 38 22	4580.0	-0.15	10.22	None	K1III	1.13	
HD_330075	0	1	1	-49 57 48	6295.0	0.03	None	None	G5	0.95	
HD_33142	0	1	1	-13 59 11.3	5052.0	0.05	4.2	None	K0	1.48	
HD_33283	0	1	1	-26 47 50	5995.0	0.366	1.2	None	G3V	1.24	
HD_33564	1	1	1	+79 13 52	6250.0	-0.12	1.1	None	F6 V	1.25	
HD_34445	1	1	1	+07 21 12	5836.0	0.14	1.38	None	G0	1.07	
HD_3651	0	1	2	+21 15 01	5173.0	0.05	0.947	None	K0 V	0.79	
HD_37124	1	1	3	+20 43 50	5610.0	-0.442	0.82	None	G4 V	0.83	
HD_37605	0	1	2	+06 03 38	5448.0	0.39	None	None	K0V	0.8	
HD_38283	1	1	1	-73 41 58	5945.0	-0.24	None	None	F9.5V	1.085	
HD_38801	1	1	1	-08 19 40	5222.0	0.26	2.53	None	K0IV	1.36	
HD_38858	1	1	1	-04 05 41	5940.0	None	None	None	G4V	None	
HD_39091	0	1	1	-80 28 08	5888.0	0.09	2.1	None	G1 IV	1.1	
HD_39194	0	1	3	-70 08 37	5150.0	None	None	None	K0V	None	
HD_40307	1	1	6	-60 01 24	4977.0	-0.31	None	None	K2.5V	0.77	
HD_4113	1	1	1	-37 58 57	5688.0	0.2	None	None	G5V	0.99	
HD_41248	0	1	2	-56 09 43	5713	-0.43	0.78	2	G2V	0.92	
HD_4203	1	1	2	+20 26 56	5702.0	0.453	1.33	None	G5	1.13	
HD_4208	0	1	1	-26 30 56	5571.0	-0.284	0.85	None	G5 V	0.87	
HD_4308	0	1	1	-65 38 58	5597.0	-0.34	0.92	None	G5 V	0.85	
HD_4313	0	1	1	+07 50 42	5035.0	0.14	4.9	None	G5 D	1.72	
HD_43197	1	1	1	-29 53 50	5508.0	0.4	1	None	G8V	0.96	
HD_43691	0	1	1	+41 05 32	6200.0	0.28	None	None	G0IV	1.38	
HD_44219	1	1	1	-10 43 30	5752.0	0.03	1.32	None	G2V	1	
HD_45184	0	1	1	-28 46 48	5940.0	None	None	None	G1.5V	None	
HD_45350	1	1	1	+38 57 46	5754.0	0.29	1.27	None	G5 IV	1.02	
HD_45364	2	1	2	-31 28 51	5434.0	-0.17	None	None	K0V	0.82	
HD_45652	0	1	1	+10 56 02	5312.0	0.29	None	None	G8-K0	0.83	
HD_47186	0	1	2	-27 37 20	5675.0	0.23	None	None	G5V	0.99	
HD_4732	1	1	2	-24 08 12	4959	0.01	5.4	None	K0 IV	1.74	
HD_47536	1	1	2	-32 20 23	4380.0	-0.68	23.47	None	K1 III	0.94	
HD_48265	1	1	1	-48 32 31	5940.0	0.17	None	None	G5V	0.93	
HD_49674	0	1	1	+40 52 03	5482.0	0.25	0.94	None	G5 V	1.07	
HD_50499	0	1	1	-33 54 56	5902.0	0.23	1.38	None	G IV	1.27	
HD_50554	0	1	1	+24 14 44	5902.0	-0.07	1.11	None	F8	1.04	
HD_51608	0	1	2	-55 15 34	5150.0	None	None	None	K0IV	None	
HD_52265	0	1	1	-05 22 01	6159.0	0.21	1.25	3.5	G0 V	1.2	
HD_5319	2	1	2	+00 47 22.40	5052.0	0.15	3.26	None	G5IV	1.51	
HD_5608	1	1	1	+33 57 03.1843	4854	None	5.5	None	K0IV	1.55	
HD_564	1	1	1	-50 16 04.16	5902	-0.2	1.01	5.5	G2	0.961	
HD_5891	0	1	1	+20 17 56	4907.0	-0.02	8.7	None	G5D	1.91	
HD_59686	1	1	1	+17 05 09	5150.0	None	11.62	None	K2 III	None	
HD_60532	1	1	2	-22 17 46	6095.0	-0.26	None	None	F6IV-V	1.44	
HD_62509	1	1	1	+28 01 34	4666.0	0.19	9.3	None	K0IIIb	1.47	
HD_63454	0	1	1	-78 16 44	4841.0	0.11	None	None	K4 V	0.8	
HD_63765	1	1	1	-54 15 51	5432.0	-0.16	None	None	G9V	0.865	
HD_6434	0	1	1	-39 29 17	5835.0	-0.52	0.57	None	G3 IV	0.79	
HD_65216	1	1	2	-63 38 50	5666.0	-0.12	None	None	G5 V	0.92	
HD_66141	1	1	1	+02 20 04	4305	-0.36	22	None	K2 III	1.1	
HD_66428	0	1	1	-01 09 45	5752.0	0.31	None	None	G5	1.14552	
HD_67087	0	1	2	+31 33 04.7381	6330	0.25	1.55	1.45	F8V	1.36	
HD_6718	0	1	1	-08 14 01	5745.0	-0.06	1.02	None	G5V	0.96	
HD_68988	0	1	1	+61 27 38	5767.0	0.24	1.14	None	G0	1.2	
HD_69830	1	1	3	-12 37 55	5385.0	-0.05	0.895	None	K0V	0.86	
HD_70573	1	1	1	+01 51 34	5737.0	-0.18	None	None	G1-1.5V	1	
HD_70642	0	1	1	-39 42 19	5670.0	0.16	0.84	None	G5 IV-V	1	
HD_7199	1	1	1	-66 11 17	5386.0	0.28	0.96	None	K0IV/V	0.89	
HD_72659	0	1	1	-01 34 05	5926.0	-0.02	1.36	None	G2 V	0.95	
HD_73256	0	1	1	-30 02 15	5570.0	0.29	0.89	None	G8/K0	1.05	
HD_73267	0	1	1	-34 27 36	5317.0	0.03	1.04	None	G5V	0.89	
HD_73526	1	1	2	-41 19 08	5590.0	0.25	1.49	5.59	G6 V	1.08	
HD_73534	1	1	1	+12 57 37	4952.0	0.16	2.65	None	G5IV	1.29	
HD_74156	0	1	2	+04 34 41	5960.0	0.13	1.64	None	G1V	1.24	
HD_7449	0	1	2	-05 02 51	6024.0	-0.11	1.01	None	F8V	1.05	
HD_75784	0	1	1	+13 14 00.37	4917	0.25	3.3	4.0	K3IV	1.41	
HD_75898	1	1	1	+33 03 25	6021.0	0.27	1.6	None	G0	1.28	
HD_76700	0	1	1	-66 48 03	5726.0	0.14	1.33	None	G6 V	1	
HD_77338	0	1	1	-25 31 37	5370.0	0.35	0.88	None	K0V	0.93	
HD_7924	0	1	3	+76 42 37.0335	5075	-0.15	0.7821	None	K0V	0.832	
HD_79498	0	1	1	+23 22 32	5740.0	0.24	None	None	G5	1.06	
HD_81040	0	1	1	+20 21 52	5700.0	-0.16	0.86	None	G2/G3	0.96	
HD_81688	0	1	1	+45 36 05	4753.0	-0.359	13	None	K0III-IV	2.1	
HD_82886	1	1	1	+09 32 43	5112.0	-0.31	4.8	None	G0	1.06	
HD_82943	1	1	2	-12 07 46	5874.0	0.32	1.12	3	G0	1.13	
HD_83443	0	1	1	-43 16 19	5460.0	0.35	1.04	None	K0 V	0.9	
HD_8535	0	1	1	-41 16 11	6136.0	0.02	1.19	None	G0V	1.13	
HD_85390	0	1	1	-49 47 25	5186.0	-0.07	None	None	K1V	0.76	
HD_85512	0	1	1	-43 30 10	4715.0	-0.33	None	None	K5V	0.69	
HD_8574	0	1	1	+28 34 00	6080.0	0.05	1.37	None	F8	1.17	
HD_86081	0	1	1	-03 48 30	6028.0	0.257	1.22	None	F8V	1.21	
HD_86226	0	1	1	-24 05 58	5940.0	0.05	1.02	1.5	G2V	1.06	
HD_86264	1	1	1	-15 53 42	6210.0	0.202	1.88	None	F7V	1.42	
HD_87883	0	1	1	+34 14 32	4980.0	0.093	0.76	None	K0V	0.82	
HD_88133	0	1	1	+18 11 12	5494.0	0.34	1.93	None	G5 IV	1.2	
HD_89307	0	1	1	+12 37 15	5950.0	-0.14	1.05	None	G0V	1.028	
HD_90156	0	1	1	-29 38 44	5599.0	-0.24	None	None	G5V	0.84	
HD_92788	1	1	1	-02 11 01	5559.0	0.32	0.99	None	G5	1.13	
HD_93083	1	1	1	-33 34 37	4995.0	0.15	None	None	K3 V	0.7	
HD_93385	0	1	2	-41 27 52	5940.0	None	None	None	G2V	None	
HD_9446	0	1	2	+29 15 55	5793.0	0.09	1	None	G5V	1	
HD_95086	0	1	1	-68 40 02	None	None	None	0.017	A8III	1.6	
HD_95089	0	1	1	+01 43 45	5002.0	0.05	4.9	None	K0 IV	1.58	
HD_95127	1	1	1	+43 48 52.0823	4218	-0.18	20	5.5	K0	1.20	
HD_9578	1	1	1	-38 14 42	5940.0	0.11	None	None	G1V	1.12	
HD_96063	1	1	1	-02 13 35	5148.0	-0.30	4.5	None	K0	1.02	
HD_96127	1	1	1	+44 18 06	4152.0	-0.24	35	None	K2III	0.91	
HD_96167	1	1	1	-10 17 29	5770.0	0.34	1.86	None	G5D	1.31	
HD_96700	0	1	2	-30 10 28	5940.0	None	None	None	G0V	None	
HD_97658	0	1	1	+25 42 37	5119.0	-0.23	0.741	6.1	K1V	0.77	
HD_98219	1	1	1	-23 58 31	4992.0	-0.02	4.5	None	K0	1.30	
HD_98649	0	1	1	-23 13 02	5759	0.02	1.0	2.3	G4V	1.00	
HD_99109	1	1	1	-01 31 44	5272.0	0.315	None	None	K0	0.93	
HD_99706	1	1	1	+43 58 00	4932.0	0.14	5.4	None	K0	1.72	
HIP_116454	0	1	1	+00 26 43.86	5089	-0.16	0.716	None	K0	0.775	
HIP_11952	1	1	2	-12 23 03	6040.0	-1.9	1.6	None	F2V	0.83	
HIP_12961	0	1	1	-23 05 12	3840.0	-0.07	None	None	M0V	0.67	
HIP_13044	0	1	1	-36 06 27	6025.0	-2.09	6.7	None	F2	0.8	
HIP_14810	1	1	3	+21 05 50	5485.0	0.26	1	None	G5	0.99	
HIP_5158	1	1	2	-22 27 11	4962.0	0.1	None	None	K5V	0.78	
HIP_57050	1	1	1	+42 45 07	3190.0	0.32	0.4	None	M4V	0.34	
HIP_57274	1	1	3	+30 57 33	4640.0	0.09	0.68	None	K5V	0.73	
HIP_63242	0	1	1	-65 38 47	4839	-0.31	None	None	G8III	1.54	
HIP_67851	0	1	2	-35 18 51.7033	4805	-0.03	5.87	None	K0III	1.30	
HIP_75458	0	1	1	+58 57 57	4445.0	0.15	12.8	None	K2 III	1.4	
HIP_78530	0	1	1	-21 58 49	10500.0	None	None	None	B9V	2.5	
HIP_79431	1	1	1	-18 52 32	3191.0	0.4	None	None	M3V	0.49	
HIP_91258	0	1	1	+61 42 09.0124	5519	0.23	1	2.4	G5V	0.95	
HIP_97233	1	1	1	-00 41 47.93	5020	0.29	5.34	None	K0	1.93	
HN_Peg	1	1	1	+14 46 19	5940.0	None	None	None	G0V	1	
HR_810	1	1	1	-50 48 12	5997.0	0.25	1.85	None	G0V pecul.	1.11	
HR_8799	0	1	4	+21 08 03	9790.0	-0.47	1.5	None	A5V	1.56	
HU_Aqr(AB)	0	1	1	-05 17 41	5700.0	None	None	None	Catac. var.	1	
Kappa_Andromedae	0	1	1	+44 20 02	11361	-0.36	2.29	0.220	B9IV	2.8	
kappa_CrB	1	1	1	+35 39 27	4960.0	0.14	4.71	None	K1IVa	1.8	
Kapteyn	1	1	2	-45 01 06.2899	3550.0	-0.86	0.291	11.0	M1.0	0.281	
KELT-2A	0	1	1	+30 57 26	6148.0	-0.015	1.842	None	F7V	1.31	
KELT-3	0	1	1	+40 23 16.981	6304	0.047	1.482	None	F2	1.282	
KELT-6	0	1	1	+30 38 24	6102	-0.28	1.58	6.1	F8	1.09	
KELT-7	0	1	1	+33 19 05.40	6789	0.139	1.732	1.3	F2	1.535	
Kepler-100	0	1	3	+41 59 24	5825	0.02	1.49	6.46	None	1.08	
Kepler-101	0	1	2	+48 21 18.84	5667	None	1.56	5.9	G3IV	1.17	
Kepler-102	0	1	5	+47 12 28	4903	0.08	0.74	1.41	None	0.80	
Kepler-103	0	1	2	+40 03 52	5845	0.07	1.44	5.70	None	1.09	
Kepler-104	0	1	3	+42 10 00	5711	None	1.349	None	None	0.8070	
Kepler-105	0	1	2	+46 16 34	5873	None	1.160	None	None	1.1800	
Kepler-106	0	1	4	+44 20 15	5858	-0.12	1.04	4.83	None	1.00	
Kepler-107	0	1	4	+48 12 30	5851	None	1.411	None	None	1.1830	
Kepler-108	1	1	2	+46 03 44	5854	None	2.192	None	None	0.8900	
Kepler-109	0	1	2	+40 17 05.66	5952	-0.08	1.32	5.73	None	1.04	
Kepler-10	0	1	2	+50 14 29	5643	-0.15	1.065	10.6	G	0.91	
Kepler-110	0	1	2	+48 36 10	5960	None	1.149	None	None	1.0670	
Kepler-111	0	1	2	+44 41 17	5952	None	1.157	None	None	1.1710	
Kepler-112	0	1	2	+43 12 35	5544	None	0.841	None	None	0.9460	
Kepler-113	0	1	2	+50 56 39	4725	0.05	0.69	6.89	None	0.75	
Kepler-114	0	1	3	+48 20 58	4605	None	0.667	None	None	0.7090	
Kepler-115	0	1	2	+45 15 42	5979	None	1.205	None	None	1.0400	
Kepler-116	0	1	2	+43 32 12	6142	None	1.454	None	None	1.2060	
Kepler-117	0	1	2	+48 02 24.81	6150	-0.04	1.606	5.3	None	1.129	
Kepler-118	0	1	2	+41 25 29	5274	None	1.094	None	None	0.7700	
Kepler-119	0	1	2	+42 39 32	5595	None	0.839	None	None	0.9180	
Kepler-11	0	1	6	+41 54 33	5663	None	1.053	8.1	G	0.961	
Kepler-120	0	1	2	+39 20 20	4096	None	0.534	None	None	0.6540	
Kepler-121	0	1	2	+39 40 40	5311	None	0.701	None	None	0.8590	
Kepler-122	0	1	5	+39 56 56	6050	None	1.216	None	None	1.0700	
Kepler-123	0	1	2	+42 46 55	6089	None	1.264	None	None	None	
Kepler-124	0	1	3	+49 03 53	4984	None	0.636	None	None	0.8410	
Kepler-125	0	1	2	+47 36 17	3810	None	0.512	None	None	0.5370	
Kepler-126	0	1	3	+44 12 30	6239	None	1.358	None	None	1.1100	
Kepler-127	0	1	3	+46 01 40	6106	None	1.359	None	None	1.2690	
Kepler-128	0	1	2	+43 58 48.64	6090.00	None	1.55	4.2000	None	1.17	
Kepler-129	0	1	2	+47 50 54	5770	None	1.641	None	None	1.1850	
Kepler-12	0	1	1	+50 02 25	5947.0	0.07	1.483	None	G0	1.166	
Kepler-130	0	1	3	+40 14 43	5884	None	1.127	None	None	0.9650	
Kepler-131	0	1	2	+40 56 32	5685	0.12	1.03	3.66	None	1.02	
Kepler-132	0	1	3	+41 20 34	6003	None	1.178	None	None	None	
Kepler-133	0	1	2	+48 19 13	5736	None	1.425	None	None	1.0200	
Kepler-134	0	1	2	+49 35 54	5983	None	1.176	None	None	1.0100	
Kepler-135	0	1	2	+38 47 43	6090	None	1.275	None	None	1.1400	
Kepler-136	0	1	2	+42 35 55.73	6165	None	1.355	None	None	1.2040	
Kepler-137	0	1	2	+43 02 20	5187	None	0.802	None	None	0.9080	
Kepler-139	0	1	2	+43 53 21	5594	None	1.300	None	None	1.0840	
Kepler-140	0	1	2	+46 46 05	6077	None	1.288	None	None	1.2070	
Kepler-141	0	1	2	+47 43 54	4910	None	0.787	None	None	1.0010	
Kepler-142	0	1	3	+48 28 52	5790	None	1.269	None	None	0.9880	
Kepler-143	0	1	2	+49 24 45	5848	None	1.359	None	None	1.0080	
Kepler-144	0	1	2	+42 46 31	6075	None	1.235	None	None	1.1540	
Kepler-146	0	1	2	+38 42 36	5948	None	1.208	None	None	1.0900	
Kepler-147	0	1	2	+39 05 13	6012	None	1.468	None	None	0.9800	
Kepler-148	0	1	2	+46 51 31	5272	None	0.851	None	None	0.7770	
Kepler-149	1	1	3	+38 23 02	5381	None	0.953	None	None	0.9090	
Kepler-14	0	1	1	+47 19 59	6395.0	0.12	2.048	None	F	1.512	
Kepler-150	0	1	4	+40 31 15	5560	None	0.939	None	None	0.9700	
Kepler-151	0	1	2	+41 01 23	5460	None	0.830	None	None	0.8600	
Kepler-152	0	1	2	+41 59 20	5088	None	0.724	None	None	None	
Kepler-153	0	1	2	+48 15 25	5404	None	0.892	None	None	0.8200	
Kepler-154	0	1	2	+49 53 47	5690	None	1.001	None	None	None	
Kepler-155	1	1	2	+51 04 54	4508	None	0.620	None	None	0.6350	
Kepler-156	0	1	2	+37 44 58	5094	None	0.807	None	None	0.7370	
Kepler-157	0	1	2	+38 52 32	5774	None	1.044	None	None	1.0280	
Kepler-158	0	1	2	+39 46 52	4623	None	0.624	None	None	0.6550	
Kepler-159	1	1	2	+40 52 07	4625	None	0.663	None	None	0.6280	
Kepler-15	0	1	1	+49 08 24.43	5595.0	0.36	0.992	None	G	1.018	
Kepler-160	0	1	2	+42 52 09	5857	None	0.884	None	None	0.9930	
Kepler-161	0	1	2	+43 05 01	5078	None	0.806	None	None	0.7830	
Kepler-162	0	1	2	+43 43 26	5816	None	0.958	None	None	0.9530	
Kepler-163	0	1	2	+46 59 14	5776	None	0.917	None	None	0.9600	
Kepler-164	0	1	3	+47 37 47	5888	None	1.148	None	None	1.1500	
Kepler-165	0	1	2	+47 48 35	5211	None	0.770	None	None	0.7900	
Kepler-166	0	1	2	+48 52 52	5413	None	0.742	None	None	0.8790	
Kepler-167	0	1	2	+38 20 43	4796	None	0.696	None	None	0.7130	
Kepler-168	0	1	2	+39 49 30	6282	None	1.107	None	None	1.1200	
Kepler-169	0	1	5	+40 55 09	4997	None	0.763	None	None	0.9180	
Kepler-170	0	1	2	+41 37 46	5679	None	1.035	None	None	1.0890	
Kepler-171	0	1	3	+41 45 19	5642	None	0.839	None	None	0.9310	
Kepler-172	0	1	4	+41 49 18	5526	None	1.085	None	None	0.8500	
Kepler-173	0	1	2	+41 53 02	6031	None	0.949	None	None	1.0600	
Kepler-174	1	1	3	+43 49 55	4880	None	0.622	None	None	0.6020	
Kepler-175	0	1	2	+43 52 34	6064	None	1.010	None	None	1.0450	
Kepler-176	0	1	3	+43 51 11	5232	None	0.891	None	None	None	
Kepler-178	0	1	3	+46 53 47	5676	None	1.066	None	None	0.8900	
Kepler-179	0	1	2	+47 45 43	5302	None	0.759	None	None	0.8420	
Kepler-17	0	1	1	+47 48 54	5781.0	0.26	1.05	None	G2V	1.16	
Kepler-180	0	1	2	+49 46 28	5731	None	1.063	None	None	0.9100	
Kepler-181	0	1	2	+50 05 44	5333	None	0.749	None	None	0.8530	
Kepler-182	0	1	2	+50 35 10	6250	None	1.146	None	None	1.1000	
Kepler-183	0	1	2	+39 18 57	5888	None	0.958	None	None	0.9900	
Kepler-184	0	1	3	+43 04 28	5788	None	0.873	None	None	0.9700	
Kepler-185	0	1	2	+43 53 23	5208	None	0.806	None	None	0.7730	
Kepler-186	1	1	5	+43 57 18	3788	-0.28	0.472	None	None	0.478	
Kepler-187	0	1	2	+44 05 21	6105	None	1.287	None	None	1.0000	
Kepler-188	0	1	2	+44 18 55	6021	None	1.141	None	None	1.0100	
Kepler-189	0	1	2	+44 18 17	5235	None	0.750	None	None	0.8240	
Kepler-18	0	1	3	+44 44 47	5383.0	0.2	1.108	None	None	0.972	
Kepler-190	0	1	2	+44 44 01	5106	None	0.795	None	None	0.8020	
Kepler-191	0	1	2	+45 19 23	5282	None	0.789	None	None	0.8280	
Kepler-192	0	1	2	+45 35 34	5479	None	1.007	None	None	0.9050	
Kepler-193	0	1	2	+46 34 38	6335	None	1.147	None	None	1.1390	
Kepler-194	0	1	3	+47 51 51	6089	None	1.025	None	None	1.0530	
Kepler-195	0	1	2	+47 58 00	5329	None	0.775	None	None	0.8430	
Kepler-196	0	1	2	+42 04 45	5128	None	0.782	None	None	None	
Kepler-197	0	1	4	+50 33 32.35	6004	None	1.120	None	None	0.8640	
Kepler-198	0	1	2	+38 41 27	5574	None	0.940	None	None	0.9580	
Kepler-199	0	1	2	+40 14 10	5644	None	0.967	None	None	1.0030	
Kepler-19	1	1	2	+37 51 06	5541	-0.13	0.850	1.9	G8V	0.936	
Kepler-200	0	1	2	+41 14 14	5678	None	0.944	None	None	1.0420	
Kepler-201	0	1	2	+41 16 22	6065	None	1.229	None	None	1.1770	
Kepler-202	0	1	2	+41 19 19	4668	None	0.667	None	None	0.6830	
Kepler-203	0	1	3	+41 23 16	5821	None	1.114	None	None	1.0100	
Kepler-204	0	1	2	+41 45 42	5812	None	1.238	None	None	1.0500	
Kepler-205	0	1	2	+41 51 40	4321	None	0.546	None	None	0.5920	
Kepler-206	0	1	3	+41 50 01	5764	None	1.185	None	None	1.0210	
Kepler-207	0	1	3	+42 09 57	5920	None	1.588	None	None	1.0400	
Kepler-208	0	1	4	+42 31 40	6092	None	1.314	None	None	0.9630	
Kepler-209	0	1	2	+42 38 26	5513	None	0.935	None	None	0.9310	
Kepler-20	0	1	5	+42 20 19	5466.0	0.02	0.944	None	G8	0.912	
Kepler-210	0	1	2	+43 04 59	4559	None	0.650	0.350	K	0.6120	
Kepler-211	0	1	2	+43 10 06	5123	None	0.816	None	None	0.9140	
Kepler-212	0	1	2	+43 08 29	5852	None	1.455	None	None	1.1660	
Kepler-213	0	1	2	+44 38 49	5696	None	1.195	None	None	0.9760	
Kepler-214	0	1	2	+44 57 21	6169	None	1.352	None	None	1.1500	
Kepler-215	0	1	4	+45 12 49	5739	None	1.027	None	None	0.9770	
Kepler-216	0	1	2	+46 07 44	6091	None	1.260	None	None	1.1290	
Kepler-217	0	1	2	+46 16 39	6171	None	1.799	None	None	1.3830	
Kepler-218	0	1	2	+46 15 59	5502	None	1.063	None	None	1.0190	
Kepler-219	0	1	3	+46 45 45	5786	None	1.491	None	None	1.1710	
Kepler-21	0	1	1	+38 42 50	6131.0	-0.15	1.86	None	F6IV	1.34	
Kepler-220	0	1	4	+46 53 44	4632	None	0.666	None	None	0.7170	
Kepler-221	0	1	4	+46 50 06	5243	None	0.821	None	None	0.8160	
Kepler-222	0	1	3	+46 56 15	5433	None	0.869	None	None	0.8570	
Kepler-223	0	1	4	+47 16 46	5829	None	1.017	None	None	0.9500	
Kepler-224	0	1	4	+47 21 27	5018	None	0.676	None	None	0.8250	
